Country,Clicks,Impressions,CTR,Position
United States,2097,169894,1.23%,17.65
Pakistan,139,1722,8.07%,16.66
Canada,44,7047,0.62%,36.17
United Kingdom,16,8435,0.19%,24.94
India,12,2463,0.49%,16.8
Hong Kong,9,180,5%,13.1
Australia,6,3530,0.17%,40.11
China,6,294,2.04%,16.8
France,5,1297,0.39%,17.6
Italy,5,1224,0.41%,17.02
Germany,4,2178,0.18%,23.59
Bangladesh,4,459,0.87%,15.83
Philippines,3,1337,0.22%,15.25
Netherlands,3,779,0.39%,29.58
Japan,3,527,0.57%,10.3
Poland,3,480,0.62%,30.17
United Arab Emirates,3,209,1.44%,16.6
Taiwan,3,169,1.78%,17.15
Mexico,2,743,0.27%,12.62
Singapore,2,453,0.44%,12.26
Puerto Rico,2,183,1.09%,5.56
Norway,2,128,1.56%,10.29
Serbia,2,67,2.99%,10.96
Albania,2,57,3.51%,12.7
Brazil,1,1769,0.06%,16.62
Ireland,1,1521,0.07%,64.51
Indonesia,1,1058,0.09%,14.47
South Korea,1,744,0.13%,10.6
Turkey,1,504,0.2%,18.4
Colombia,1,300,0.33%,17.33
Ukraine,1,209,0.48%,12.56
Russia,1,190,0.53%,17.91
Sweden,1,186,0.54%,12.11
Morocco,1,184,0.54%,18.32
New Zealand,1,164,0.61%,10.14
Greece,1,127,0.79%,14.02
Hungary,1,123,0.81%,16.54
Denmark,1,95,1.05%,10.43
Iran,1,74,1.35%,9.82
Nepal,1,69,1.45%,10.91
Honduras,1,37,2.7%,10.68
Bosnia & Herzegovina,1,24,4.17%,12.33
Spain,0,1034,0%,19.56
Vietnam,0,960,0%,20.46
Lithuania,0,582,0%,55.71
Malaysia,0,519,0%,12.14
Belgium,0,462,0%,21.65
Thailand,0,397,0%,17.72
Austria,0,392,0%,32.76
Switzerland,0,343,0%,29.37
Saudi Arabia,0,338,0%,23.23
Argentina,0,327,0%,17.16
South Africa,0,228,0%,16.21
Portugal,0,222,0%,11.35
Egypt,0,219,0%,21.14
Israel,0,204,0%,17.65
Ecuador,0,188,0%,14.87
Romania,0,183,0%,16.48
Nigeria,0,180,0%,11.52
Algeria,0,174,0%,16.67
Jordan,0,156,0%,13.64
Peru,0,143,0%,15.27
Chile,0,140,0%,17.75
Finland,0,123,0%,10.83
Venezuela,0,122,0%,20.33
Czechia,0,110,0%,13.5
Iraq,0,97,0%,19.76
Dominican Republic,0,92,0%,12.05
Guam,0,83,0%,5.12
Oman,0,75,0%,25.33
Slovakia,0,70,0%,9.46
Tunisia,0,70,0%,18.21
Qatar,0,69,0%,9.46
Kenya,0,69,0%,21.09
Kuwait,0,66,0%,14.03
Bulgaria,0,66,0%,15.06
Belarus,0,58,0%,13.5
Croatia,0,57,0%,8.12
Sri Lanka,0,55,0%,13.55
Costa Rica,0,49,0%,9.71
Jamaica,0,43,0%,9.79
Cambodia,0,42,0%,10.86
Slovenia,0,41,0%,9.68
Trinidad & Tobago,0,40,0%,14.35
Mongolia,0,39,0%,13.77
Azerbaijan,0,38,0%,18.74
Ethiopia,0,38,0%,19.79
Guatemala,0,37,0%,16.08
Kazakhstan,0,37,0%,30.27
Lebanon,0,36,0%,19.28
Paraguay,0,35,0%,18.43
Estonia,0,34,0%,11.68
Panama,0,34,0%,12.82
Ghana,0,33,0%,33.06
Uzbekistan,0,32,0%,20.66
Moldova,0,31,0%,12.58
Uruguay,0,31,0%,13.77
Latvia,0,31,0%,13.9
Bolivia,0,31,0%,23.06
Bahrain,0,30,0%,25.17
Georgia,0,28,0%,14
Palestine,0,27,0%,12.67
Macedonia,0,24,0%,15.71
Cuba,0,23,0%,8.09
El Salvador,0,22,0%,11.64
Cyprus,0,21,0%,31.19
Armenia,0,19,0%,9.79
Unknown Region,0,19,0%,13.11
Myanmar (Burma),0,19,0%,19.63
Brunei,0,18,0%,6.44
Belize,0,16,0%,12.81
Angola,0,16,0%,22.44
US Virgin Islands,0,14,0%,6.86
Djibouti,0,14,0%,7.21
Malta,0,14,0%,8.64
Bahamas,0,14,0%,8.93
Libya,0,14,0%,9.57
Uganda,0,14,0%,10.14
Zimbabwe,0,14,0%,10.79
Tanzania,0,14,0%,20.21
Barbados,0,13,0%,10.38
Syria,0,12,0%,14
Nicaragua,0,12,0%,17.83
Senegal,0,12,0%,23.92
Kyrgyzstan,0,12,0%,31.58
Seychelles,0,11,0%,13.55
Somalia,0,10,0%,5.7
Maldives,0,10,0%,8.1
Kosovo,0,10,0%,8.4
Iceland,0,10,0%,10.8
Luxembourg,0,9,0%,4.89
Côte d’Ivoire,0,9,0%,21.11
Cayman Islands,0,8,0%,5.38
Zambia,0,8,0%,6.62
Congo - Kinshasa,0,8,0%,9.62
Northern Mariana Islands,0,8,0%,9.62
Haiti,0,8,0%,10.88
Laos,0,8,0%,11.62
Fiji,0,8,0%,14.38
British Virgin Islands,0,7,0%,2.57
Macau,0,7,0%,6.29
Rwanda,0,7,0%,7.57
Greenland,0,6,0%,6.17
Gabon,0,6,0%,8
Botswana,0,6,0%,8.17
Cameroon,0,6,0%,10.33
Afghanistan,0,6,0%,16.17
Madagascar,0,6,0%,21.67
Congo - Brazzaville,0,6,0%,27.17
Swaziland,0,5,0%,3
Liberia,0,5,0%,3.4
Papua New Guinea,0,5,0%,4
Mauritius,0,5,0%,4.6
Guyana,0,5,0%,7
Namibia,0,5,0%,8
Guernsey,0,5,0%,9
Jersey,0,5,0%,15.4
Togo,0,5,0%,16.2
Burkina Faso,0,5,0%,25.4
